pH,Turbidity_NTU,Free_Residual_Chlorine_ppm,TDS_ppm,Total_Hardness_ppm,Calcium_Hardness_ppm,Magnesium_Hardness_ppm,Chlorides_ppm,Phosphate_ppm,Total_Alkalinity_ppm,Sulphates_ppm,Silica_ppm,Source_Sheet,Date,Iron_ppm,Suspended_Solids_ppm,Conductivity_uS_cm,Cycles_of_Concentration
7.68,19.0,,998.0,469.0,221.0,248.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1489.0,
7.59,13.0,,892.0,279.0,207.0,72.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1331.0,
7.28,15.0,0.3,897.0,492.0,221.0,271.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1338.0,
7.25,17.0,,881.0,474.0,212.0,262.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1314.0,
7.44,14.0,,874.0,483.0,285.0,198.0,178.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1334.0,
7.97,21.0,0.2,842.0,474.0,207.0,267.0,170.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1257.0,
7.73,33.0,0.2,912.0,481.0,198.0,283.0,162.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1361.0,
7.78,24.0,0.5,933.0,531.0,258.0,273.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1392.0,
7.56,23.0,,727.0,460.0,239.0,221.0,122.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1085.0,
7.23,19.0,,705.0,515.0,253.0,262.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1052.0,
7.34,21.0,,661.0,529.0,217.0,312.0,130.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,986.0,
6.98,22.0,,630.0,520.0,250.0,270.0,138.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,940.0,
7.59,16.0,,663.0,474.0,290.0,184.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,989.0,
7.76,24.0,,694.0,462.0,239.0,223.0,138.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1035.0,
7.21,20.0,,690.0,447.0,224.0,223.0,154.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1029.0,
7.6,20.0,,795.0,457.0,229.0,228.0,162.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1186.0,
7.34,34.0,0.5,705.0,462.0,244.0,218.0,138.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1052.0,
7.63,45.0,,681.0,362.0,195.0,167.0,105.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1016.0,
7.46,32.0,,654.0,362.0,185.0,177.0,97.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,976.0,
7.36,28.0,,653.0,384.0,190.0,194.0,131.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,974.0,
7.43,29.0,0.5,585.0,375.0,181.0,194.0,116.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,873.0,
7.83,22.0,0.5,594.0,362.0,190.0,172.0,124.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1334.0,
7.44,23.0,0.6,587.0,374.0,178.0,196.0,109.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,876.0,
7.66,25.0,,622.0,394.0,182.0,212.0,138.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,928.0,
7.6,30.0,0.5,594.0,389.0,187.0,202.0,109.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,886.0,
7.73,24.0,,686.0,394.0,192.0,202.0,116.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1023.0,
7.77,26.0,,708.0,379.0,178.0,201.0,102.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1056.0,
7.82,36.0,,681.0,371.0,181.0,190.0,122.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1016.0,
8.02,25.0,,751.0,399.0,162.0,237.0,106.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1120.0,
7.35,24.0,0.4,715.0,413.0,153.0,260.0,110.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1067.0,
8.12,45.0,,732.0,418.0,167.0,251.0,114.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1092.0,
7.47,44.0,0.7,718.0,499.0,165.0,334.0,109.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1071.0,
7.99,58.0,,818.0,445.0,199.0,246.0,116.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1220.0,
8.2,34.0,,734.0,379.0,177.0,202.0,109.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1095.0,
7.75,19.0,0.6,751.0,402.0,194.0,208.0,116.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1120.0,
7.18,15.0,,661.0,594.0,320.0,274.0,167.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,986.0,
8.04,17.0,0.5,650.0,580.0,316.0,264.0,153.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,970.0,
7.82,17.0,,609.0,561.0,302.0,259.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,908.0,
7.96,20.0,,638.0,575.0,288.0,287.0,156.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,952.0,
7.65,15.0,,654.0,566.0,302.0,264.0,167.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,976.0,
7.79,18.0,,661.0,557.0,302.0,255.0,138.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,986.0,
7.39,34.0,0.8,738.0,579.0,294.0,285.0,160.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1101.0,
7.67,19.0,0.6,658.0,547.0,285.0,262.0,153.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,982.0,
7.96,21.0,0.2,692.0,533.0,280.0,253.0,160.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1032.0,
7.96,17.0,0.8,641.0,524.0,289.0,235.0,153.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,957.0,
7.81,19.0,0.2,671.0,529.0,285.0,244.0,160.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1001.0,
7.89,22.0,0.1,628.0,333.0,289.0,44.0,167.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,937.0,
7.99,22.0,1.0,640.0,538.0,285.0,253.0,153.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,955.0,
8.25,17.0,,555.0,441.0,271.0,170.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,828.0,
7.61,15.0,,535.0,452.0,262.0,190.0,138.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,798.0,
8.0,23.0,0.9,634.0,473.0,260.0,213.0,153.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,946.0,
8.22,26.0,,720.0,469.0,255.0,214.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1074.0,
7.99,22.0,,687.0,469.0,255.0,214.0,167.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1025.0,
7.84,16.0,0.2,682.0,473.0,246.0,227.0,153.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1018.0,
8.13,16.0,0.4,512.0,464.0,241.0,223.0,146.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,764.0,
8.0,14.0,,709.0,475.0,240.0,235.0,160.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1058.0,
8.16,16.0,0.8,774.0,484.0,249.0,235.0,167.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,,
8.1,15.0,,760.0,479.0,224.0,255.0,160.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1134.0,
8.07,15.0,,805.0,484.0,249.0,235.0,167.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1201.0,
7.81,18.0,0.4,812.0,479.0,240.0,239.0,160.0,,,,,DCM_850_CT_TPD_Report_-_April_2024_to_OCT_2025__chosen,,,,1211.0,
