cycle,timestamp,pH,conductivity,temperature,ORP,LSI,RSI,risk_level,primary_risk,preemptive,doses,blowdown,slug_doses,cost_inr,safety_overrides,emergency_stop
29,1704075300.0,7.76,1438.0,35.002679859368094,650.6467746731493,0.6707336049595654,6.418532790080869,LOW,scaling,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5574, 'AQUATREAT-2150': 0.0856, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0775}",0.0,{},278.52,3,False
30,1704075600.0,7.49,1486.0,34.40359517548185,618.876766687208,0.48362018491094894,6.522759630178102,LOW,scaling,True,"{'AQUATREAT-2501': 0.2817, 'AQUATREAT-1196': 0.7246, 'AQUATREAT-2150': 0.1112, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0747}",0.0,{},332.87,3,False
31,1704075900.0,7.7,1515.0,34.51676639311768,625.1157663857622,0.6772040696305837,6.345591860738833,LOW,scaling,True,"{'AQUATREAT-2501': 0.2349, 'AQUATREAT-1196': 0.942, 'AQUATREAT-2150': 0.0372, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.073}",0.0,{},353.44,2,False
32,1704076200.0,7.93,1498.0,34.553888488430104,648.8057239659815,0.8822746383439668,6.165450723312066,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1863, 'AQUATREAT-1196': 1.2246, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0735}",0.0,{},410.15,2,False
33,1704076500.0,7.62,1453.0,34.614498120286974,646.6214985612529,0.5701129338884998,6.4797741322230005,LOW,scaling,True,"{'AQUATREAT-2501': 0.1884, 'AQUATREAT-1196': 1.5919, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0757}",0.0,{},495.53,2,False
34,1704076800.0,8.08,1407.0,34.493958914582784,649.6977002716953,0.9978953389707614,6.084209322058477,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1975, 'AQUATREAT-1196': 1.9754, 'AQUATREAT-2150': 0.0845, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0784}",0.0,{},586.92,1,False
35,1704077100.0,6.91,1527.6923076923076,34.49240924245944,658.9978757054315,-0.1660735724356801,7.24214714487136,LOW,scaling,True,"{'AQUATREAT-2501': 0.0491, 'AQUATREAT-1196': 0.1726, 'AQUATREAT-2150': 0.1099, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0732}",0.0,{},168.91,3,False
36,1704077400.0,7.86,1492.0,34.59007139645614,656.6268323307921,0.7936462343790813,6.272707531241838,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.1667, 'AQUATREAT-1196': 0.4167, 'AQUATREAT-2150': 0.0374, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0737}",0.0,{},225.77,3,False
37,1704077700.0,7.81,1462.0,33.112242801822056,656.2738167508227,0.7260023813359044,6.357995237328191,MODERATE,scaling,True,"{'AQUATREAT-2501': 0.2167, 'AQUATREAT-1196': 0.5417, 'AQUATREAT-2150': 0.05, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0748}",0.0,{},265.62,3,False
38,1704078000.0,7.38,1501.0,35.28961863402769,693.638802988916,0.3636981390405003,6.652603721918999,LOW,scaling,True,"{'AQUATREAT-2501': 0.0741, 'AQUATREAT-1196': 0.7042, 'AQUATREAT-2150': 0.065, 'AQUATREAT-4612': 0.25, 'AQUATREAT-6625': 0.0739}",0.0,{},279.29,3,False
